Base,PastSimple1,PastSimple2,PastParticiple1,PastParticiple2,RegularizedPast,DoubleInflection
arise,arose,NA,arisen,NA,arised,arosed
awake,awoke,NA,awoken,NA,awaked,awoked
be,was,were,been,NA,beed,NA
bear,bore,NA,born,borne,beared,bored
beat,beat,NA,beaten,NA,beated,NA
become,became,NA,become,NA,becomed,becamed
begin,began,NA,begun,NA,beginned,beganed
behold,beheld,NA,beheld,NA,beholded,behelded
bend,bent,NA,bent,NA,bended,NA
bet,bet,NA,bet,NA,betted,NA
bid,bid,NA,bid,NA,bidded,NA
bid,bade,NA,bidden,NA,bidded,baded
bind,bound,NA,bound,NA,binded,bounded
bite,bit,NA,bitten,NA,bited,NA
bleed,bled,NA,bled,NA,bleeded,NA
blow,blew,NA,blown,NA,blowed,blewed
break,broke,NA,broken,NA,breaked,broked
breed,bred,NA,bred,NA,breeded,NA
bring,brought,NA,brought,NA,bringed,NA
build,built,NA,built,NA,builded,NA
burst,burst,NA,burst,NA,bursted,NA
bust,bust,NA,bust,NA,busted,NA
buy,bought,NA,bought,NA,buyed,NA
cast,cast,NA,cast,NA,casted,NA
catch,caught,NA,caught,NA,catched,caughted
choose,chose,NA,chosen,NA,choosed,chosed
cling,clung,NA,clung,NA,clinged,clunged
come,came,NA,come,NA,comed,camed
cost,cost,NA,cost,NA,costed,NA
cut,cut,NA,cut,NA,cutted,NA
deal,dealt,NA,dealt,NA,dealed,dealted
dig,dug,NA,dug,NA,digged,dugged
dive,dove,NA,dived,NA,dived,doved
do,did,NA,done,NA,doed,dided
draw,drew,NA,drawn,NA,drawed,drewed
drink,drank,NA,drunk,NA,drinked,dranked
drive,drove,NA,driven,NA,drived,droved
dwell,dwelt,NA,dwelt,NA,dwelled,dwelted
eat,ate,NA,eaten,NA,eated,ated
fall,fell,NA,fallen,NA,falled,felled
feed,fed,NA,fed,NA,feeded,feded
feel,felt,NA,felt,NA,feeled,felted
fight,fought,NA,fought,NA,fighted,foughted
find,found,NA,found,NA,finded,founded
flee,fled,NA,fled,NA,fleed,fleded
fling,flung,NA,flung,NA,flinged,flunged
fly,flew,NA,flown,NA,flied,flewed
forbid,forbade,NA,forbidden,NA,forbidded,forbaded
foresee,foresaw,NA,foreseen,NA,foreseed,foresawed
foretell,foretold,NA,foretold,NA,foretelled,foretolded
forget,forgot,NA,forgotten,NA,forgetted,forgotted
forgive,forgave,NA,forgiven,NA,forgived,forgaved
freeze,froze,NA,frozen,NA,freezed,frozed
frostbite,frostbit,NA,frostbitten,NA,frostbited,frostbitted
get,got,NA,got,gotten,getted,gotted
give,gave,NA,given,NA,gived,gaved
go,went,NA,gone,been,goed,wented
grind,ground,NA,ground,NA,grinded,grounded
grow,grew,NA,grown,NA,growed,grewed
handwrite,handwrote,NA,handwritten,NA,handwrited,handwroted
have,had,NA,had,NA,haved,haded
hear,heard,NA,heard,NA,heared,hearded
hide,hid,NA,hidden,NA,hided,hidded
hit,hit,NA,hit,NA,hitted,NA
hold,held,NA,held,NA,holded,helded
hurt,hurt,NA,hurt,NA,hurted,NA
keep,kept,NA,kept,NA,keeped,kepted
know,knew,NA,known,NA,knowed,knewed
lead,led,NA,led,NA,leaded,leded
leave,left,NA,left,NA,leaved,lefted
let,let,NA,let,NA,letted,NA
lie,lay,NA,lain,NA,lied,NA
light,lit,NA,lit,NA,lighted,litted
lose,lost,NA,lost,NA,losed,losted
make,made,NA,made,NA,maked,maded
mean,meant,NA,meant,NA,meaned,meanted
meet,met,NA,met,NA,meeted,metted
mislead,misled,NA,misled,NA,misleaded,misledded
mistake,mistook,NA,mistaken,NA,mistaked,mistooked
misunderstand,misunderstood,NA,misunderstood,NA,misunderstanded,misunderstooded
overdraw,overdrew,NA,overdrawn,NA,overdrawed,overdrewed
overhear,overheard,NA,overheard,NA,overheared,overhearded
overtake,overtook,NA,overtaken,NA,overtaked,overtooked
preset,preset,NA,preset,NA,presetted,NA
put,put,NA,put,NA,putted,NA
quit,quit,NA,quit,NA,quitted,NA
read,read,NA,read,NA,readed,NA
ride,rode,NA,ridden,NA,rided,roded
ring,rang,NA,rung,NA,ringed,ranged
rise,rose,NA,risen,NA,rised,rosed
run,ran,NA,run,NA,runned,ranned
say,said,NA,said,NA,sayed,saided
see,saw,NA,seen,NA,seed,sawed
seek,sought,NA,sought,NA,seeked,soughted
sell,sold,NA,sold,NA,selled,solded
send,sent,NA,sent,NA,sended,sented
set,set,NA,set,NA,setted,NA
shake,shook,NA,shaken,NA,shaked,shooked
shed,shed,NA,shed,NA,shedded,NA
shine,shone,NA,shone,NA,shined,shoned
shoot,shot,NA,shot,NA,shooted,shotted
shrink,shrank,NA,shrunk,NA,shrinked,shranked
shut,shut,NA,shut,NA,shutted,NA
sing,sang,NA,sung,NA,singed,sanged
sink,sank,NA,sunk,NA,sinked,sanked
sit,sat,NA,sat,NA,sitted,satted
slay,slew,NA,slain,NA,slayed,slewed
sleep,slept,NA,slept,NA,sleeped,slepted
slide,slid,NA,slid,slidden,slided,slidded
sling,slung,NA,slung,NA,slinged,slunged
slink,slunk,NA,slunk,NA,slinked,slunked
slit,slit,NA,slit,NA,slitted,slitted
speak,spoke,NA,spoken,NA,speaked,spoked
spend,spent,NA,spent,NA,spended,spented
spin,span,spun,spun,NA,spinned,spanned
spit,spat,spit,spat,spit,spitted,spatted
split,split,NA,split,NA,splitted,NA
spread,spread,NA,spread,NA,spreaded,NA
spring,sprang,NA,sprung,NA,springed,spranged
stand,stood,NA,stood,NA,standed,stooded
steal,stole,NA,stolen,NA,stealed,stoled
stick,stuck,NA,stuck,NA,sticked,stucked
sting,stung,NA,stung,NA,stinged,stunged
stink,stank,NA,stunk,NA,stinked,stanked
strike,struck,NA,struck,stricken,striked,strucked
string,strung,NA,strung,NA,stringed,strunged
strive,strove,NA,striven,NA,strived,stroved
sublet,sublet,NA,sublet,NA,subletted,NA
swear,swore,NA,sworn,NA,sweared,swored
swim,swam,NA,swum,NA,swimmed,swammed
swing,swung,NA,swung,NA,swingged,swungged
take,took,NA,taken,NA,taked,tooked
teach,taught,NA,taught,NA,teached,taughted
tear,tore,NA,torn,NA,teared,tored
tell,told,NA,told,NA,telled,tolded
think,thought,NA,thought,NA,thinked,thoughted
throw,threw,NA,thrown,NA,throwed,threwed
thrust,thrust,NA,thrust,NA,thrusted,NA
tread,trod,NA,trodden,NA,treaded,trodded
undergo,underwent,NA,undergone,NA,undergoed,underwented
understand,understood,NA,understood,NA,understanded,understooded
undertake,undertook,NA,undertaken,NA,undertaked,undertooked
upsell,upsold,NA,upsold,NA,upselled,upsolded
upset,upset,NA,upset,NA,upsetted,NA
wake,woke,NA,woken,NA,waked,woked
wear,wore,NA,worn,NA,wear,wore
weave,wove,NA,woven,NA,weaved,woved
weep,wept,NA,wept,NA,weeped,wepted
win,won,NA,won,NA,winned,wonned
wind,wound,NA,wound,NA,winded,wounded
withdraw,withdrew,NA,withdrawn,NA,withdrawed,withdrewed
withold,withheld,NA,withheld,NA,witholded,withelded
withstand,withstood,NA,withstood,NA,withstanded,withstooded
wring,wrung,NA,wrung,NA,wringed,wrunged
write,wrote,NA,written,NA,writed,wroted