,utterance,response,response_time,speaker,responder,utterance_time,error,age,past_tense,plural,overlap,source_file,overreg_candidate,overreg
1,one ladybirds,where's the ladybird,0.263,CHI,MOT,2.229,TRUE,24,FALSE,TRUE,FALSE,fraser/2-00-01b.xml,TRUE,F
2,broken blues clues,broken blues clues,0.039,CHI,MOT,2.612,TRUE,24,TRUE,FALSE,FALSE,fraser/2-00-02a.xml,TRUE,F
3,a crickets,mhm hm,0.175,CHI,MOT,1.393,TRUE,24,FALSE,TRUE,FALSE,fraser/2-00-03b.xml,TRUE,F
4,two feets,oh oh oh,0.012,CHI,MOT,1.056,TRUE,24,FALSE,TRUE,FALSE,fraser/2-00-10a.xml,TRUE,T
5,zero done,you done it,-0.998,CHI,MOT,1.033,TRUE,24,TRUE,FALSE,TRUE,fraser/2-00-10a.xml,TRUE,F
6,Jwww the balls,Jwww's in the balls isn't he,0.018,CHI,MOT,2.102,TRUE,24,FALSE,TRUE,FALSE,fraser/2-00-12a.xml,TRUE,F
7,Jwww no shoes on,yeah,0,CHI,MOT,1.904,TRUE,24,FALSE,TRUE,FALSE,fraser/2-00-12a.xml,TRUE,F
8,glasses on,oh no be careful with them because you're hurting Mummy,0.081,CHI,MOT,1.057,TRUE,24,FALSE,TRUE,FALSE,fraser/2-00-12a.xml,TRUE,F
9,glasses on,your glasses are here,0.023,CHI,MOT,1.439,TRUE,24,FALSE,TRUE,FALSE,fraser/2-00-12a.xml,TRUE,F
10,oh Fraser done,oh Fraser what have you done,0.336,CHI,MOT,3.402,TRUE,24,TRUE,FALSE,FALSE,fraser/2-00-15a.xml,TRUE,F
11,xxx things do,so many things to do,0.299,CHI,MOT,2.009,TRUE,24,FALSE,TRUE,FALSE,fraser/2-00-15a.xml,TRUE,F
12,Fraser turn pages,what are you saying sweetheart,3.349,CHI,MOT,1.985,TRUE,24,FALSE,TRUE,FALSE,fraser/2-00-15a.xml,TRUE,F
13,no feets,where's Fraser's feet,0.012,CHI,MOT,1.184,TRUE,24,FALSE,TRUE,FALSE,fraser/2-00-15a.xml,TRUE,T
14,the ball wet,the ball is wet yes,0.228,CHI,MOT,2.914,TRUE,24,TRUE,FALSE,FALSE,fraser/2-00-16a.xml,TRUE,F
15,that was lion get out,what are you saying to the lion,1.424,CHI,MOT,3.228,TRUE,24,TRUE,FALSE,FALSE,fraser/2-00-16a.xml,TRUE,F
16,that cards,yeah,0.011,CHI,MOT,1.196,TRUE,24,FALSE,TRUE,FALSE,fraser/2-00-18a.xml,TRUE,F
17,zero got,oh Fraser don't do that darling,0.267,CHI,MOT,0.708,TRUE,24,TRUE,FALSE,FALSE,fraser/2-00-18a.xml,TRUE,F
18,Twww got balloon,he's got a balloon and what color is the balloon,1.324,CHI,MOT,1.312,TRUE,24,TRUE,FALSE,FALSE,fraser/2-00-18b.xml,TRUE,F
19,zero got blanket,yes,0.067,CHI,MOT,1.973,TRUE,24,TRUE,FALSE,FALSE,fraser/2-00-18b.xml,TRUE,F
20,birds have,that's right,-0.906,CHI,MOT,0.906,TRUE,24,FALSE,TRUE,TRUE,fraser/2-00-19a.xml,TRUE,F
21,sheeps,counting the sheep,0.081,CHI,MOT,1.033,TRUE,24,FALSE,TRUE,FALSE,fraser/2-00-19a.xml,TRUE,T
22,Patch got ice,yeah he's got an ice hasn't he,0.058,CHI,MOT,2.311,TRUE,24,TRUE,FALSE,FALSE,fraser/2-00-19b.xml,TRUE,F
23,where cow gone,cow gone,0.047,CHI,MOT,1.045,TRUE,24,TRUE,FALSE,FALSE,fraser/2-00-20b.xml,TRUE,F
24,where Jeannine gone,shut the door,-1.266,CHI,MOT,2.125,TRUE,24,TRUE,FALSE,TRUE,fraser/2-00-20v.xml,TRUE,F
25,where Daddy gone,where's Daddy gone,0.291,CHI,MOT,1.521,TRUE,24,TRUE,FALSE,FALSE,fraser/2-00-21b.xml,TRUE,F
26,twos hills,is that a big hill,0.952,CHI,MOT,1.393,TRUE,24,FALSE,TRUE,FALSE,fraser/2-00-21b.xml,TRUE,F
27,look a rabbits,yeah that's the rabbit over there isn't it,0.359,CHI,MOT,1.893,TRUE,24,FALSE,TRUE,FALSE,fraser/2-00-23v.xml,TRUE,F
28,sheeps,sheeps,0.163,CHI,MOT,0.546,TRUE,24,FALSE,TRUE,FALSE,fraser/2-00-23v.xml,TRUE,T
29,a work pennys,yes,0.139,CHI,MOT,2.322,TRUE,24,FALSE,TRUE,FALSE,fraser/2-00-23v.xml,TRUE,F
30,sheeps,yes,0.07,CHI,MOT,1.323,TRUE,24,FALSE,TRUE,FALSE,fraser/2-00-23v.xml,TRUE,T
31,someone broken,who broke that,0.012,CHI,MOT,2.427,TRUE,24,TRUE,FALSE,FALSE,fraser/2-00-24a.xml,TRUE,F
32,more ba more bale bales hay,yes,0,CHI,MOT,2.856,TRUE,24,FALSE,TRUE,FALSE,fraser/2-00-24b.xml,TRUE,F
33,oh the tractors,it's a tractor isn't it,0.082,CHI,MOT,1.811,TRUE,24,FALSE,TRUE,FALSE,fraser/2-00-24b.xml,TRUE,F
34,orange bears,orange bear,0,CHI,MOT,1.858,TRUE,24,FALSE,TRUE,FALSE,fraser/2-00-24b.xml,TRUE,F
35,yeah done I done it,did you do it,0.046,CHI,MOT,3.158,TRUE,24,TRUE,FALSE,FALSE,fraser/2-00-26b.xml,TRUE,F
36,done naughty,oh dear,0,CHI,MOT,2.276,TRUE,24,TRUE,FALSE,FALSE,fraser/2-00-27b.xml,TRUE,F
37,Jwww gone,Jwww's playing with Awww oh Jwww,-0.168,CHI,MOT,1.939,TRUE,24,TRUE,FALSE,TRUE,fraser/2-00-27b.xml,TRUE,F
38,zero was there,was there,0.818,CHI,MOT,1.788,TRUE,24,TRUE,FALSE,FALSE,fraser/2-00-28b.xml,TRUE,F
39,Mummy put Daddy pillow,yeah,0.018,CHI,MOT,2.497,TRUE,24,TRUE,FALSE,FALSE,fraser/2-00-28b.xml,TRUE,F
40,a bears,the bears,0.464,CHI,MOT,1.08,TRUE,24,FALSE,TRUE,FALSE,fraser/2-00-28b.xml,TRUE,F
41,zero down the slides,and then you went down the slide,-0.372,CHI,MOT,1.602,TRUE,24,FALSE,TRUE,TRUE,fraser/2-00-28b.xml,TRUE,F
42,oh no fell it over,did it fall over,0.15,CHI,MOT,2.218,TRUE,24,TRUE,FALSE,FALSE,fraser/2-00-28v.xml,TRUE,F
43,got to xxx dress,you've got school soon,-0.894,CHI,MOT,1.823,TRUE,24,TRUE,FALSE,TRUE,fraser/2-00-30b.xml,TRUE,F
44,oh the car,Fraser the car's gone,0.151,CHI,MOT,2.299,TRUE,25,TRUE,FALSE,FALSE,fraser/2-01-02a.xml,TRUE,F
45,Helen a him,you reading the story now are you,2.027,CHI,MOT,2.554,TRUE,25,TRUE,FALSE,FALSE,fraser/2-01-06a.xml,TRUE,F
46,tell well done,well done,0.023,CHI,MOT,2.032,TRUE,25,TRUE,FALSE,FALSE,fraser/2-01-07a.xml,TRUE,F
47,loved you,I love you too Fraser,0.011,CHI,MOT,1.115,TRUE,25,TRUE,FALSE,FALSE,fraser/2-01-07a.xml,TRUE,F
48,I loved you loved you,I love you too Fraser,0.07,CHI,MOT,3.506,TRUE,25,TRUE,FALSE,FALSE,fraser/2-01-07a.xml,TRUE,F
49,I loved you,where's Fraser,1.648,CHI,MOT,2.031,TRUE,25,TRUE,FALSE,FALSE,fraser/2-01-07a.xml,TRUE,F
50,I getting the shoes,no,-0.046,CHI,MOT,1.66,TRUE,25,FALSE,TRUE,TRUE,fraser/2-01-10b.xml,TRUE,F
51,a sheeps have,how many sheeps are there,0.209,CHI,MOT,1.648,TRUE,25,FALSE,TRUE,FALSE,fraser/2-01-10b.xml,TRUE,T
52,look my nails well,yeah,-0.639,CHI,MOT,1.985,TRUE,26,FALSE,TRUE,TRUE,fraser/2-02-01b.xml,TRUE,F
53,lion lion's got stripes,that's right,-0.29,CHI,MOT,2.229,TRUE,26,FALSE,TRUE,TRUE,fraser/2-02-02a.xml,TRUE,F
54,he in the works,yeah,0.07,CHI,MOT,1.347,TRUE,26,FALSE,TRUE,FALSE,fraser/2-02-02b.xml,TRUE,F
55,sleepings,yeah,0,CHI,MOT,1.706,TRUE,26,FALSE,TRUE,FALSE,fraser/2-02-02b.xml,TRUE,F
56,they got a baby ducks,yes,0.011,CHI,MOT,1.719,TRUE,26,FALSE,TRUE,FALSE,fraser/2-02-02b.xml,TRUE,F
57,she's scared the spider,she's scared of the spider,0.035,CHI,MOT,2.345,TRUE,26,TRUE,FALSE,FALSE,fraser/2-02-02b.xml,TRUE,F
58,I broken again,oh Fraser,0,CHI,MOT,2.508,TRUE,26,TRUE,FALSE,FALSE,fraser/2-02-04a.xml,TRUE,F
59,here I go come xxx giants,have you got fi figh fo fum,3.023,CHI,MOT,3.53,TRUE,26,FALSE,TRUE,FALSE,fraser/2-02-04b.xml,TRUE,F
60,Little_Bill got hamster,yeah,0.081,CHI,MOT,2.508,TRUE,26,TRUE,FALSE,FALSE,fraser/2-02-04b.xml,TRUE,F
61,I got,and some sandwich as well,0.058,CHI,MOT,0.627,TRUE,26,TRUE,FALSE,FALSE,fraser/2-02-05a.xml,TRUE,F
62,I broke it,did Fraser break it,0.22,CHI,MOT,1.498,TRUE,26,TRUE,FALSE,FALSE,fraser/2-02-06a.xml,TRUE,F
63,Maisey's got big big trunk,Maisey's got a big big trunk,0.151,CHI,MOT,3.611,TRUE,26,TRUE,FALSE,FALSE,fraser/2-02-06a.xml,TRUE,F
64,and Grandma does got flower,yeah,0.011,CHI,MOT,2.52,TRUE,27,TRUE,FALSE,FALSE,fraser/2-03-00a.xml,TRUE,F
65,you got a black hat,no,0.162,CHI,MOT,1.591,TRUE,27,TRUE,FALSE,FALSE,fraser/2-03-00a.xml,TRUE,F
66,that's Daddy Daddy's hairs,that's Daddy's head,0.809,CHI,MOT,1.614,TRUE,27,FALSE,TRUE,FALSE,fraser/2-03-00a.xml,TRUE,?
67,I got a party hat,you've got a party hat,0.117,CHI,MOT,1.671,TRUE,27,TRUE,FALSE,FALSE,fraser/2-03-00a.xml,TRUE,F
68,I got party hat phone,you got a party hat phone,0.023,CHI,MOT,2.519,TRUE,27,TRUE,FALSE,FALSE,fraser/2-03-00a.xml,TRUE,F
69,that's that's a that that's that's a mountains,it's a mountain,0.074,CHI,MOT,4.006,TRUE,27,FALSE,TRUE,FALSE,fraser/2-03-00b.xml,TRUE,F
70,it said oh,it says oh does it,0.035,CHI,MOT,1.939,TRUE,27,TRUE,FALSE,FALSE,fraser/2-03-03a.xml,TRUE,F
71,she got umbrella,yes,0.058,CHI,MOT,1.939,TRUE,27,TRUE,FALSE,FALSE,fraser/2-03-03a.xml,TRUE,F
72,zero got got umbrella,yeah,0.023,CHI,MOT,1.858,TRUE,27,TRUE,FALSE,FALSE,fraser/2-03-03a.xml,TRUE,F
73,all those peoples,all those people,0.011,CHI,MOT,1.73,TRUE,27,FALSE,TRUE,FALSE,fraser/2-03-03a.xml,TRUE,T
74,the tiger have got stripes,aah,-0.696,CHI,MOT,2.403,TRUE,27,FALSE,TRUE,TRUE,fraser/2-03-03a.xml,TRUE,F
75,Grandma and Grandad did buy me this,did they,0.035,CHI,MOT,3.042,TRUE,27,TRUE,FALSE,FALSE,fraser/2-03-05a.xml,TRUE,F
76,and crisps yukky,crisps are yucky,0.429,CHI,MOT,1.51,TRUE,27,FALSE,TRUE,FALSE,fraser/2-03-05a.xml,TRUE,F
77,don't pieces taking Mummy outy,shall I go away,0.012,CHI,MOT,2.322,TRUE,27,FALSE,TRUE,FALSE,fraser/2-03-05a.xml,TRUE,F
78,where's my pennies,where's your pennies,-0.221,CHI,MOT,1.753,TRUE,27,FALSE,TRUE,TRUE,fraser/2-03-05a.xml,TRUE,F
79,and those those people sleeping,is everybody sleeping,0.255,CHI,MOT,4.133,TRUE,27,FALSE,TRUE,FALSE,fraser/2-03-05b.xml,TRUE,F
80,the birds lucky,the birds are yucky,0.14,CHI,MOT,2.217,TRUE,27,FALSE,TRUE,FALSE,fraser/2-03-06a.xml,TRUE,F
81,the wheels going round and round,the wheels are going round and round,0.093,CHI,MOT,2.763,TRUE,27,FALSE,TRUE,FALSE,fraser/2-03-06a.xml,TRUE,F
82,those girls hiding,yes,0.012,CHI,MOT,2.101,TRUE,27,FALSE,TRUE,FALSE,fraser/2-03-06a.xml,TRUE,F
83,what he's got,I don't know,0.011,CHI,MOT,0.964,TRUE,27,TRUE,FALSE,FALSE,fraser/2-03-06b.xml,TRUE,F
84,and some cups,xxx cups,0.136,CHI,MOT,1.416,TRUE,27,FALSE,TRUE,FALSE,fraser/2-03-06b.xml,TRUE,F
85,it's not got back to shop,it has gone back to the shop,1.024,CHI,MOT,4.121,TRUE,27,TRUE,FALSE,FALSE,fraser/2-03-06b.xml,TRUE,F
86,he went see Pooh,wanna go bouncing,0.125,CHI,MOT,1.544,TRUE,28,TRUE,FALSE,FALSE,fraser/2-04-01b.xml,TRUE,F
87,zero Twww gonna going to gone with his Daddy,ooh dear,1.834,CHI,MOT,2.566,TRUE,28,TRUE,FALSE,FALSE,fraser/2-04-01b.xml,TRUE,F
88,what what you have got,I've got some sauce,0.697,CHI,MOT,2.496,TRUE,28,TRUE,FALSE,FALSE,fraser/2-04-02a.xml,TRUE,F
89,Roo was a pig,no,0.12,CHI,MOT,1.591,TRUE,28,TRUE,FALSE,FALSE,fraser/2-04-02b.xml,TRUE,F
90,she got two two two blacks legs,got two black legs,0.058,CHI,MOT,6.653,TRUE,28,FALSE,TRUE,FALSE,fraser/2-04-02b.xml,TRUE,F
91,good_night sheeps,see,4.961,CHI,MOT,1.51,TRUE,28,FALSE,TRUE,FALSE,fraser/2-04-02b.xml,TRUE,T
92,a g we seen a giraffe at the zoo today,you saw a giraffe at the zoo,-0.906,CHI,MOT,4.621,TRUE,28,TRUE,FALSE,TRUE,fraser/2-04-03v.xml,TRUE,F
93,and Aladdin came uh at the zoo,no,0.104,CHI,MOT,2.612,TRUE,28,TRUE,FALSE,FALSE,fraser/2-04-03v.xml,TRUE,F
94,oh it's fallen over,fell over again didn't it,1.802,CHI,MOT,2.273,TRUE,28,TRUE,FALSE,FALSE,fraser/2-04-04a.xml,TRUE,F
95,and I see the animals,and you saw what,0.301,CHI,MOT,2.81,TRUE,28,FALSE,TRUE,FALSE,fraser/2-04-04b.xml,TRUE,F
96,there's no rooms,there's lots of room,0.499,CHI,MOT,1.44,TRUE,28,FALSE,TRUE,FALSE,fraser/2-04-04b.xml,TRUE,F
97,zero gone,see it's all gone,3.499,CHI,MOT,0.65,TRUE,28,TRUE,FALSE,FALSE,fraser/2-04-05a.xml,TRUE,F
98,these hoops broken,the hoops are broken,0.04,CHI,MOT,1.904,TRUE,28,FALSE,TRUE,FALSE,fraser/2-04-05b.xml,TRUE,F
99,tha just not a grapes,no,0.464,CHI,MOT,2.763,TRUE,28,FALSE,TRUE,FALSE,fraser/2-04-06a.xml,TRUE,F
100,that that ornaments goes in there,that's right,0,CHI,MOT,3.041,TRUE,28,FALSE,TRUE,FALSE,fraser/2-04-06a.xml,TRUE,F
101,I I got in shopping,did you,0,CHI,MOT,2.322,TRUE,28,TRUE,FALSE,FALSE,fraser/2-04-06a.xml,TRUE,F
102,and I hear the people in the car,pardon,0.348,CHI,MOT,3.17,TRUE,28,FALSE,TRUE,FALSE,fraser/2-04-06b.xml,TRUE,F
103,xxx gonna going to see the fish and Daddy's and Daddy saw the fish and you saw the fish,yeah,0.035,CHI,MOT,7.476,TRUE,29,TRUE,FALSE,FALSE,fraser/2-05-00a.xml,TRUE,F
104,and grandad saw the fish,did he,0.058,CHI,MOT,2.172,TRUE,29,TRUE,FALSE,FALSE,fraser/2-05-00a.xml,TRUE,F
105,and Jwww seed the dustmen,did he,0.074,CHI,MOT,2.194,TRUE,29,TRUE,FALSE,FALSE,fraser/2-05-00a.xml,TRUE,F
106,he got,elephant,-0.603,CHI,MOT,0.743,TRUE,29,TRUE,FALSE,TRUE,fraser/2-05-00a.xml,TRUE,F
107,and then we ran at little ball,was he,0.058,CHI,MOT,3.552,TRUE,29,TRUE,FALSE,FALSE,fraser/2-05-00b.xml,TRUE,F
108,um he has it and that eat leaves,does he eat leaves,0.034,CHI,MOT,5.353,TRUE,29,FALSE,TRUE,FALSE,fraser/2-05-01b.xml,TRUE,F
109,got big long long tail,wow,0.692,CHI,MOT,2.299,TRUE,29,TRUE,FALSE,FALSE,fraser/2-05-01b.xml,TRUE,F
110,went Trafford_Centre,that's right,0.046,CHI,MOT,2.52,TRUE,29,TRUE,FALSE,FALSE,fraser/2-05-03a.xml,TRUE,F
111,catch your foots,catch my foot,0,CHI,MOT,1.742,TRUE,29,FALSE,TRUE,FALSE,fraser/2-05-03a.xml,TRUE,T
112,I be got get up,you've got to get up,0.035,CHI,MOT,1.939,TRUE,29,TRUE,FALSE,FALSE,fraser/2-05-03a.xml,TRUE,F
113,he was being running,yeah,-1.811,CHI,MOT,1.881,TRUE,29,TRUE,FALSE,TRUE,fraser/2-05-03a.xml,TRUE,F
114,look at all these sheeps,is there lots of sheep there,0.025,CHI,MOT,1.729,TRUE,29,FALSE,TRUE,FALSE,fraser/2-05-03a.xml,TRUE,T
115,is that a sausages,sausages,0.581,CHI,MOT,2.124,TRUE,29,FALSE,TRUE,FALSE,fraser/2-05-03a.xml,TRUE,F
116,oh look got monkey again,is it a monkey again,0.035,CHI,MOT,2.113,TRUE,29,TRUE,FALSE,FALSE,fraser/2-05-03b.xml,TRUE,F
117,I got I saw the sea see the fish,you saw the sea and the fish,0.024,CHI,MOT,3.993,TRUE,29,TRUE,FALSE,FALSE,fraser/2-05-03b.xml,TRUE,F
118,and I went on a train,yes,0,CHI,MOT,2.194,TRUE,29,TRUE,FALSE,FALSE,fraser/2-05-03b.xml,TRUE,F
119,and there was planets,and there were planets,0,CHI,MOT,2.217,TRUE,29,TRUE,FALSE,FALSE,fraser/2-05-03b.xml,TRUE,F
120,is it scratched it,yeah did you,-0.662,CHI,MOT,2.09,TRUE,29,TRUE,FALSE,TRUE,fraser/2-05-03b.xml,TRUE,F
121,I saw them,you saw what,0.476,CHI,MOT,2.078,TRUE,29,TRUE,FALSE,FALSE,fraser/2-05-04a.xml,TRUE,F
122,xxx seen Bear,we saw Bear we did,0.747,CHI,MOT,1.416,TRUE,29,TRUE,FALSE,FALSE,fraser/2-05-04a.xml,TRUE,F
123,Dipsy's not got nothing,he has,0.023,CHI,MOT,2.101,TRUE,29,TRUE,FALSE,FALSE,fraser/2-05-04a.xml,TRUE,F
124,he he not got nothing,Dipsy has something on his head,0.093,CHI,MOT,2.658,TRUE,29,TRUE,FALSE,FALSE,fraser/2-05-04a.xml,TRUE,F
125,is it a worms,I don't know,0.185,CHI,MOT,1.37,TRUE,29,FALSE,TRUE,FALSE,fraser/2-05-04a.xml,TRUE,F
126,what your said,who else is a girl,0,CHI,MOT,1.625,TRUE,29,TRUE,FALSE,FALSE,fraser/2-05-04b.xml,TRUE,F
127,what I got on my blanket,come on,-1.753,CHI,MOT,1.95,TRUE,29,TRUE,FALSE,TRUE,fraser/2-05-04b.xml,TRUE,F
128,look he's got red nose,has he got a red nose,0.011,CHI,MOT,2.311,TRUE,29,TRUE,FALSE,FALSE,fraser/2-05-04b.xml,TRUE,F
129,what your said,do you like corn,0,CHI,MOT,1.265,TRUE,29,TRUE,FALSE,FALSE,fraser/2-05-04b.xml,TRUE,F
130,the mouth called a beak,yes,0.139,CHI,MOT,2.427,TRUE,29,TRUE,FALSE,FALSE,fraser/2-05-06a.xml,TRUE,F
131,just got got all these peoples,pardon,1.08,CHI,MOT,2.903,TRUE,29,FALSE,TRUE,FALSE,fraser/2-05-06a.xml,TRUE,F
132,I got to say that,go on then,2.136,CHI,MOT,2.043,TRUE,29,TRUE,FALSE,FALSE,fraser/2-05-06b.xml,TRUE,F
133,that that dragon's scared that bird,is he,0,CHI,MOT,4.354,TRUE,30,TRUE,FALSE,FALSE,fraser/2-06-01a.xml,TRUE,F
134,you it it was dropped it,she dropped it,0.353,CHI,MOT,2.6,TRUE,30,TRUE,FALSE,FALSE,fraser/2-06-01a.xml,TRUE,F
135,and and there was crabs on the floor,was there,0.22,CHI,MOT,4.11,TRUE,30,TRUE,FALSE,FALSE,fraser/2-06-01a.xml,TRUE,F
136,and Jwww's throwed Joe's ball,does he,0.018,CHI,MOT,2.659,TRUE,30,TRUE,FALSE,FALSE,fraser/2-06-01a.xml,TRUE,T
137,no no is it is tickles,does it,-0.192,CHI,MOT,2.845,TRUE,30,FALSE,TRUE,TRUE,fraser/2-06-01b.xml,TRUE,F
138,four foots,two foots,0.047,CHI,MOT,1.231,TRUE,30,FALSE,TRUE,FALSE,fraser/2-06-01b.xml,TRUE,T
139,no sheeps,no sheep,0,CHI,MOT,1.266,TRUE,30,FALSE,TRUE,FALSE,fraser/2-06-01b.xml,TRUE,T
140,why you said ooh,because the postman just came and there's some cards for Mummy,0.047,CHI,MOT,1.846,TRUE,30,TRUE,FALSE,FALSE,fraser/2-06-01b.xml,TRUE,F
141,he broke it,he broke it,0.384,CHI,MOT,1.683,TRUE,30,TRUE,FALSE,FALSE,fraser/2-06-02a.xml,TRUE,F
142,but that one falled,did it,0.058,CHI,MOT,1.683,TRUE,30,TRUE,FALSE,FALSE,fraser/2-06-02a.xml,TRUE,T
143,I don't like to cut my fingers,you have to soon,0.85,CHI,MOT,2.148,TRUE,30,FALSE,TRUE,FALSE,fraser/2-06-02b.xml,TRUE,F
144,I don't like to cut my fingers,your finger,0.302,CHI,MOT,3.773,TRUE,30,FALSE,TRUE,FALSE,fraser/2-06-02b.xml,TRUE,F
145,oh it falled,has it fallen,0.023,CHI,MOT,2.159,TRUE,30,TRUE,FALSE,FALSE,fraser/2-06-03a.xml,TRUE,T
146,it falled,you fell,0.441,CHI,MOT,1.811,TRUE,30,TRUE,FALSE,FALSE,fraser/2-06-03a.xml,TRUE,T
147,it falled,your tower fell over did it,1.242,CHI,MOT,1.963,TRUE,30,TRUE,FALSE,FALSE,fraser/2-06-03a.xml,TRUE,T
148,it went twinkle twinkle little star,did it,0.012,CHI,MOT,2.752,TRUE,30,TRUE,FALSE,FALSE,fraser/2-06-03a.xml,TRUE,F
149,it goed I it go down to my ear,it goes down to your ear,0.262,CHI,MOT,4.737,TRUE,30,TRUE,FALSE,FALSE,fraser/2-06-03b.xml,TRUE,T
150,it's went down to my mouth,it goes down to your mouth,0.127,CHI,MOT,2.241,TRUE,30,TRUE,FALSE,FALSE,fraser/2-06-03b.xml,TRUE,F
151,m my chins hurt,your chin hurts,0.058,CHI,MOT,1.846,TRUE,30,FALSE,TRUE,FALSE,fraser/2-06-03b.xml,TRUE,F
