"","utterance","response","response_time","speaker","responder","utterance_time","error","age","past_tense","plural","overlap","source_file","overreg_candidate"
"1","one ladybirds","where's the ladybird",0.26299999999992,"CHI","MOT",2.22900000000004,TRUE,24,FALSE,TRUE,FALSE,"fraser/2-00-01b.xml",TRUE
"2","broken blues clues","broken blues clues",0.0389999999999873,"CHI","MOT",2.61200000000008,TRUE,24,TRUE,FALSE,FALSE,"fraser/2-00-02a.xml",TRUE
"3","a crickets","mhm hm",0.174999999999727,"CHI","MOT",1.39300000000003,TRUE,24,FALSE,TRUE,FALSE,"fraser/2-00-03b.xml",TRUE
"4","two feets","oh oh oh",0.012000000000171,"CHI","MOT",1.05599999999981,TRUE,24,FALSE,TRUE,FALSE,"fraser/2-00-10a.xml",TRUE
"5","zero done","you done it",-0.998000000000047,"CHI","MOT",1.03300000000036,TRUE,24,TRUE,FALSE,TRUE,"fraser/2-00-10a.xml",TRUE
"6","Jwww the balls","Jwww's in the balls isn't he",0.0180000000000291,"CHI","MOT",2.10199999999986,TRUE,24,FALSE,TRUE,FALSE,"fraser/2-00-12a.xml",TRUE
"7","Jwww no shoes on","yeah",0,"CHI","MOT",1.904,TRUE,24,FALSE,TRUE,FALSE,"fraser/2-00-12a.xml",TRUE
"8","glasses on","oh no be careful with them because you're hurting Mummy",0.0809999999996762,"CHI","MOT",1.05700000000024,TRUE,24,FALSE,TRUE,FALSE,"fraser/2-00-12a.xml",TRUE
"9","glasses on","your glasses are here",0.0230000000001382,"CHI","MOT",1.43899999999985,TRUE,24,FALSE,TRUE,FALSE,"fraser/2-00-12a.xml",TRUE
"10","oh Fraser done","oh Fraser what have you done",0.336000000000013,"CHI","MOT",3.40199999999993,TRUE,24,TRUE,FALSE,FALSE,"fraser/2-00-15a.xml",TRUE
"11","xxx things do","so many things to do",0.298999999999978,"CHI","MOT",2.00900000000001,TRUE,24,FALSE,TRUE,FALSE,"fraser/2-00-15a.xml",TRUE
"12","Fraser turn pages","what are you saying sweetheart",3.34900000000016,"CHI","MOT",1.98500000000013,TRUE,24,FALSE,TRUE,FALSE,"fraser/2-00-15a.xml",TRUE
"13","no feets","where's Fraser's feet",0.012000000000171,"CHI","MOT",1.1840000000002,TRUE,24,FALSE,TRUE,FALSE,"fraser/2-00-15a.xml",TRUE
"14","the ball wet","the ball is wet yes",0.228000000000009,"CHI","MOT",2.91399999999999,TRUE,24,TRUE,FALSE,FALSE,"fraser/2-00-16a.xml",TRUE
"15","that was lion get out","what are you saying to the lion",1.42399999999998,"CHI","MOT",3.22800000000007,TRUE,24,TRUE,FALSE,FALSE,"fraser/2-00-16a.xml",TRUE
"16","that cards","yeah",0.0110000000000809,"CHI","MOT",1.19599999999991,TRUE,24,FALSE,TRUE,FALSE,"fraser/2-00-18a.xml",TRUE
"17","zero got","oh Fraser don't do that darling",0.26700000000028,"CHI","MOT",0.707999999999629,TRUE,24,TRUE,FALSE,FALSE,"fraser/2-00-18a.xml",TRUE
"18","Twww got balloon","he's got a balloon and what color is the balloon",1.32399999999996,"CHI","MOT",1.31200000000001,TRUE,24,TRUE,FALSE,FALSE,"fraser/2-00-18b.xml",TRUE
"19","zero got blanket","yes",0.0670000000000073,"CHI","MOT",1.97299999999996,TRUE,24,TRUE,FALSE,FALSE,"fraser/2-00-18b.xml",TRUE
"20","birds have","that's right",-0.905999999999949,"CHI","MOT",0.905999999999949,TRUE,24,FALSE,TRUE,TRUE,"fraser/2-00-19a.xml",TRUE
"21","sheeps","counting the sheep",0.081000000000131,"CHI","MOT",1.0329999999999,TRUE,24,FALSE,TRUE,FALSE,"fraser/2-00-19a.xml",TRUE
"22","Patch got ice","yeah he's got an ice hasn't he",0.0579999999999927,"CHI","MOT",2.31100000000015,TRUE,24,TRUE,FALSE,FALSE,"fraser/2-00-19b.xml",TRUE
"23","where cow gone","cow gone",0.0470000000000255,"CHI","MOT",1.04500000000007,TRUE,24,TRUE,FALSE,FALSE,"fraser/2-00-20b.xml",TRUE
"24","where Jeannine gone","shut the door",-1.26600000000008,"CHI","MOT",2.125,TRUE,24,TRUE,FALSE,TRUE,"fraser/2-00-20v.xml",TRUE
"25","where Daddy gone","where's Daddy gone",0.290999999999997,"CHI","MOT",1.52100000000002,TRUE,24,TRUE,FALSE,FALSE,"fraser/2-00-21b.xml",TRUE
"26","twos hills","is that a big hill",0.951999999999998,"CHI","MOT",1.39299999999992,TRUE,24,FALSE,TRUE,FALSE,"fraser/2-00-21b.xml",TRUE
"27","look a rabbits","yeah that's the rabbit over there isn't it",0.358999999999995,"CHI","MOT",1.893,TRUE,24,FALSE,TRUE,FALSE,"fraser/2-00-23v.xml",TRUE
"28","sheeps","sheeps",0.162999999999954,"CHI","MOT",0.546000000000049,TRUE,24,FALSE,TRUE,FALSE,"fraser/2-00-23v.xml",TRUE
"29","a work pennys","yes",0.13900000000001,"CHI","MOT",2.322,TRUE,24,FALSE,TRUE,FALSE,"fraser/2-00-23v.xml",TRUE
"30","sheeps","yes",0.0699999999999363,"CHI","MOT",1.32299999999987,TRUE,24,FALSE,TRUE,FALSE,"fraser/2-00-23v.xml",TRUE
"31","someone broken","who broke that",0.0120000000000573,"CHI","MOT",2.42700000000002,TRUE,24,TRUE,FALSE,FALSE,"fraser/2-00-24a.xml",TRUE
"32","more ba more bale bales hay","yes",0,"CHI","MOT",2.85599999999999,TRUE,24,FALSE,TRUE,FALSE,"fraser/2-00-24b.xml",TRUE
"33","oh the tractors","it's a tractor isn't it",0.0819999999998799,"CHI","MOT",1.81100000000015,TRUE,24,FALSE,TRUE,FALSE,"fraser/2-00-24b.xml",TRUE
"34","orange bears","orange bear",0,"CHI","MOT",1.85799999999972,TRUE,24,FALSE,TRUE,FALSE,"fraser/2-00-24b.xml",TRUE
"35","yeah done I done it","did you do it",0.0459999999998217,"CHI","MOT",3.1579999999999,TRUE,24,TRUE,FALSE,FALSE,"fraser/2-00-26b.xml",TRUE
"36","done naughty","oh dear",0,"CHI","MOT",2.276,TRUE,24,TRUE,FALSE,FALSE,"fraser/2-00-27b.xml",TRUE
"37","Jwww gone","Jwww's playing with Awww oh Jwww",-0.16800000000012,"CHI","MOT",1.93900000000008,TRUE,24,TRUE,FALSE,TRUE,"fraser/2-00-27b.xml",TRUE
"38","zero was there","was there",0.818000000000097,"CHI","MOT",1.7879999999999,TRUE,24,TRUE,FALSE,FALSE,"fraser/2-00-28b.xml",TRUE
"39","Mummy put Daddy pillow","yeah",0.0180000000000291,"CHI","MOT",2.49699999999984,TRUE,24,TRUE,FALSE,FALSE,"fraser/2-00-28b.xml",TRUE
"40","a bears","the bears",0.463999999999942,"CHI","MOT",1.07999999999993,TRUE,24,FALSE,TRUE,FALSE,"fraser/2-00-28b.xml",TRUE
"41","zero down the slides","and then you went down the slide",-0.372000000000298,"CHI","MOT",1.60200000000032,TRUE,24,FALSE,TRUE,TRUE,"fraser/2-00-28b.xml",TRUE
"42","oh no fell it over","did it fall over",0.150000000000091,"CHI","MOT",2.21799999999985,TRUE,24,TRUE,FALSE,FALSE,"fraser/2-00-28v.xml",TRUE
"43","got to xxx dress","you've got school soon",-0.894000000000233,"CHI","MOT",1.82300000000032,TRUE,24,TRUE,FALSE,TRUE,"fraser/2-00-30b.xml",TRUE
"44","oh the car","Fraser the car's gone",0.151000000000295,"CHI","MOT",2.29899999999998,TRUE,25,TRUE,FALSE,FALSE,"fraser/2-01-02a.xml",TRUE
"45","Helen a him","you reading the story now are you",2.02700000000004,"CHI","MOT",2.55399999999963,TRUE,25,TRUE,FALSE,FALSE,"fraser/2-01-06a.xml",TRUE
"46","tell well done","well done",0.0230000000000246,"CHI","MOT",2.03200000000004,TRUE,25,TRUE,FALSE,FALSE,"fraser/2-01-07a.xml",TRUE
"47","loved you","I love you too Fraser",0.0109999999999673,"CHI","MOT",1.11499999999978,TRUE,25,TRUE,FALSE,FALSE,"fraser/2-01-07a.xml",TRUE
"48","I loved you loved you","I love you too Fraser",0.0700000000001637,"CHI","MOT",3.50599999999986,TRUE,25,TRUE,FALSE,FALSE,"fraser/2-01-07a.xml",TRUE
"49","I loved you","where's Fraser",1.64800000000014,"CHI","MOT",2.03099999999995,TRUE,25,TRUE,FALSE,FALSE,"fraser/2-01-07a.xml",TRUE
"50","I getting the shoes","no",-0.0460000000000491,"CHI","MOT",1.65999999999985,TRUE,25,FALSE,TRUE,TRUE,"fraser/2-01-10b.xml",TRUE
"51","a sheeps have","how many sheeps are there",0.208999999999833,"CHI","MOT",1.64800000000014,TRUE,25,FALSE,TRUE,FALSE,"fraser/2-01-10b.xml",TRUE
"52","look my nails well","yeah",-0.63900000000001,"CHI","MOT",1.98500000000001,TRUE,26,FALSE,TRUE,TRUE,"fraser/2-02-01b.xml",TRUE
"53","lion lion's got stripes","that's right",-0.289999999999964,"CHI","MOT",2.22899999999993,TRUE,26,FALSE,TRUE,TRUE,"fraser/2-02-02a.xml",TRUE
"54","he in the works","yeah",0.07000000000005,"CHI","MOT",1.34699999999998,TRUE,26,FALSE,TRUE,FALSE,"fraser/2-02-02b.xml",TRUE
"55","sleepings","yeah",0,"CHI","MOT",1.70600000000002,TRUE,26,FALSE,TRUE,FALSE,"fraser/2-02-02b.xml",TRUE
"56","they got a baby ducks","yes",0.0110000000001946,"CHI","MOT",1.71899999999982,TRUE,26,FALSE,TRUE,FALSE,"fraser/2-02-02b.xml",TRUE
"57","she's scared the spider","she's scared of the spider",0.0349999999998545,"CHI","MOT",2.34500000000025,TRUE,26,TRUE,FALSE,FALSE,"fraser/2-02-02b.xml",TRUE
"58","I broken again","oh Fraser",0,"CHI","MOT",2.50799999999981,TRUE,26,TRUE,FALSE,FALSE,"fraser/2-02-04a.xml",TRUE
"59","here I go come xxx giants","have you got fi figh fo fum",3.023,"CHI","MOT",3.53,TRUE,26,FALSE,TRUE,FALSE,"fraser/2-02-04b.xml",TRUE
"60","Little_Bill got hamster","yeah",0.0809999999996762,"CHI","MOT",2.50800000000027,TRUE,26,TRUE,FALSE,FALSE,"fraser/2-02-04b.xml",TRUE
"61","I got","and some sandwich as well",0.0579999999999927,"CHI","MOT",0.626999999999953,TRUE,26,TRUE,FALSE,FALSE,"fraser/2-02-05a.xml",TRUE
"62","I broke it","did Fraser break it",0.220000000000027,"CHI","MOT",1.49800000000005,TRUE,26,TRUE,FALSE,FALSE,"fraser/2-02-06a.xml",TRUE
"63","Maisey's got big big trunk","Maisey's got a big big trunk",0.15099999999984,"CHI","MOT",3.61100000000033,TRUE,26,TRUE,FALSE,FALSE,"fraser/2-02-06a.xml",TRUE
"64","and Grandma does got flower","yeah",0.0109999999999673,"CHI","MOT",2.52000000000004,TRUE,27,TRUE,FALSE,FALSE,"fraser/2-03-00a.xml",TRUE
"65","you got a black hat","no",0.161999999999978,"CHI","MOT",1.59100000000001,TRUE,27,TRUE,FALSE,FALSE,"fraser/2-03-00a.xml",TRUE
"66","that's Daddy Daddy's hairs","that's Daddy's head",0.808999999999969,"CHI","MOT",1.61400000000003,TRUE,27,FALSE,TRUE,FALSE,"fraser/2-03-00a.xml",TRUE
"67","I got a party hat","you've got a party hat",0.116999999999962,"CHI","MOT",1.67100000000005,TRUE,27,TRUE,FALSE,FALSE,"fraser/2-03-00a.xml",TRUE
"68","I got party hat phone","you got a party hat phone",0.0229999999999109,"CHI","MOT",2.51900000000001,TRUE,27,TRUE,FALSE,FALSE,"fraser/2-03-00a.xml",TRUE
"69","that's that's a that that's that's a mountains","it's a mountain",0.0740000000000691,"CHI","MOT",4.00600000000031,TRUE,27,FALSE,TRUE,FALSE,"fraser/2-03-00b.xml",TRUE
"70","it said oh","it says oh does it",0.035000000000025,"CHI","MOT",1.93900000000002,TRUE,27,TRUE,FALSE,FALSE,"fraser/2-03-03a.xml",TRUE
"71","she got umbrella","yes",0.0580000000000496,"CHI","MOT",1.93899999999996,TRUE,27,TRUE,FALSE,FALSE,"fraser/2-03-03a.xml",TRUE
"72","zero got got umbrella","yeah",0.0229999999999109,"CHI","MOT",1.85800000000006,TRUE,27,TRUE,FALSE,FALSE,"fraser/2-03-03a.xml",TRUE
"73","all those peoples","all those people",0.0109999999999673,"CHI","MOT",1.73000000000002,TRUE,27,FALSE,TRUE,FALSE,"fraser/2-03-03a.xml",TRUE
"74","the tiger have got stripes","aah",-0.695999999999913,"CHI","MOT",2.40300000000025,TRUE,27,FALSE,TRUE,TRUE,"fraser/2-03-03a.xml",TRUE
"75","Grandma and Grandad did buy me this","did they",0.035000000000025,"CHI","MOT",3.04199999999997,TRUE,27,TRUE,FALSE,FALSE,"fraser/2-03-05a.xml",TRUE
"76","and crisps yukky","crisps are yucky",0.428999999999633,"CHI","MOT",1.51000000000022,TRUE,27,FALSE,TRUE,FALSE,"fraser/2-03-05a.xml",TRUE
"77","don't pieces taking Mummy outy","shall I go away",0.0119999999997162,"CHI","MOT",2.32200000000012,TRUE,27,FALSE,TRUE,FALSE,"fraser/2-03-05a.xml",TRUE
"78","where's my pennies","where's your pennies",-0.221000000000004,"CHI","MOT",1.75300000000016,TRUE,27,FALSE,TRUE,TRUE,"fraser/2-03-05a.xml",TRUE
"79","and those those people sleeping","is everybody sleeping",0.255000000000109,"CHI","MOT",4.13299999999981,TRUE,27,FALSE,TRUE,FALSE,"fraser/2-03-05b.xml",TRUE
"80","the birds lucky","the birds are yucky",0.139999999999986,"CHI","MOT",2.21700000000001,TRUE,27,FALSE,TRUE,FALSE,"fraser/2-03-06a.xml",TRUE
"81","the wheels going round and round","the wheels are going round and round",0.0930000000000177,"CHI","MOT",2.76299999999998,TRUE,27,FALSE,TRUE,FALSE,"fraser/2-03-06a.xml",TRUE
"82","those girls hiding","yes",0.0119999999999436,"CHI","MOT",2.10100000000011,TRUE,27,FALSE,TRUE,FALSE,"fraser/2-03-06a.xml",TRUE
"83","what he's got","I don't know",0.0109999999999673,"CHI","MOT",0.963999999999942,TRUE,27,TRUE,FALSE,FALSE,"fraser/2-03-06b.xml",TRUE
"84","and some cups","xxx cups",0.135999999999967,"CHI","MOT",1.41599999999994,TRUE,27,FALSE,TRUE,FALSE,"fraser/2-03-06b.xml",TRUE
"85","it's not got back to shop","it has gone back to the shop",1.02399999999989,"CHI","MOT",4.12100000000009,TRUE,27,TRUE,FALSE,FALSE,"fraser/2-03-06b.xml",TRUE
"86","he went see Pooh","wanna go bouncing",0.125,"CHI","MOT",1.54399999999998,TRUE,28,TRUE,FALSE,FALSE,"fraser/2-04-01b.xml",TRUE
"87","zero Twww gonna going to gone with his Daddy","ooh dear",1.83400000000006,"CHI","MOT",2.56600000000003,TRUE,28,TRUE,FALSE,FALSE,"fraser/2-04-01b.xml",TRUE
"88","what what you have got","I've got some sauce",0.697000000000116,"CHI","MOT",2.49600000000009,TRUE,28,TRUE,FALSE,FALSE,"fraser/2-04-02a.xml",TRUE
"89","Roo was a pig","no",0.119999999999891,"CHI","MOT",1.59100000000035,TRUE,28,TRUE,FALSE,FALSE,"fraser/2-04-02b.xml",TRUE
"90","she got two two two blacks legs","got two black legs",0.0579999999999927,"CHI","MOT",6.65300000000025,TRUE,28,FALSE,TRUE,FALSE,"fraser/2-04-02b.xml",TRUE
"91","good_night sheeps","see",4.96100000000024,"CHI","MOT",1.50999999999976,TRUE,28,FALSE,TRUE,FALSE,"fraser/2-04-02b.xml",TRUE
"92","a g we seen a giraffe at the zoo today","you saw a giraffe at the zoo",-0.906000000000006,"CHI","MOT",4.62100000000001,TRUE,28,TRUE,FALSE,TRUE,"fraser/2-04-03v.xml",TRUE
"93","and Aladdin came uh at the zoo","no",0.103999999999985,"CHI","MOT",2.61200000000002,TRUE,28,TRUE,FALSE,FALSE,"fraser/2-04-03v.xml",TRUE
"94","oh it's fallen over","fell over again didn't it",1.80199999999991,"CHI","MOT",2.27300000000014,TRUE,28,TRUE,FALSE,FALSE,"fraser/2-04-04a.xml",TRUE
"95","and I see the animals","and you saw what",0.301000000000045,"CHI","MOT",2.80999999999995,TRUE,28,FALSE,TRUE,FALSE,"fraser/2-04-04b.xml",TRUE
"96","there's no rooms","there's lots of room",0.498999999999796,"CHI","MOT",1.44000000000005,TRUE,28,FALSE,TRUE,FALSE,"fraser/2-04-04b.xml",TRUE
"97","zero gone","see it's all gone",3.49900000000002,"CHI","MOT",0.649999999999977,TRUE,28,TRUE,FALSE,FALSE,"fraser/2-04-05a.xml",TRUE
"98","these hoops broken","the hoops are broken",0.0400000000004184,"CHI","MOT",1.904,TRUE,28,FALSE,TRUE,FALSE,"fraser/2-04-05b.xml",TRUE
"99","tha just not a grapes","no",0.463999999999942,"CHI","MOT",2.76299999999992,TRUE,28,FALSE,TRUE,FALSE,"fraser/2-04-06a.xml",TRUE
"100","that that ornaments goes in there","that's right",0,"CHI","MOT",3.04099999999971,TRUE,28,FALSE,TRUE,FALSE,"fraser/2-04-06a.xml",TRUE
"101","I I got in shopping","did you",0,"CHI","MOT",2.32200000000012,TRUE,28,TRUE,FALSE,FALSE,"fraser/2-04-06a.xml",TRUE
"102","and I hear the people in the car","pardon",0.347999999999956,"CHI","MOT",3.17000000000007,TRUE,28,FALSE,TRUE,FALSE,"fraser/2-04-06b.xml",TRUE
"103","xxx gonna going to see the fish and Daddy's and Daddy saw the fish and you saw the fish","yeah",0.035000000000025,"CHI","MOT",7.476,TRUE,29,TRUE,FALSE,FALSE,"fraser/2-05-00a.xml",TRUE
"104","and grandad saw the fish","did he",0.0580000000000211,"CHI","MOT",2.172,TRUE,29,TRUE,FALSE,FALSE,"fraser/2-05-00a.xml",TRUE
"105","and Jwww seed the dustmen","did he",0.0740000000000691,"CHI","MOT",2.19399999999996,TRUE,29,TRUE,FALSE,FALSE,"fraser/2-05-00a.xml",TRUE
"106","he got","elephant",-0.603000000000065,"CHI","MOT",0.742999999999938,TRUE,29,TRUE,FALSE,TRUE,"fraser/2-05-00a.xml",TRUE
"107","and then we ran at little ball","was he",0.0579999999999927,"CHI","MOT",3.55200000000002,TRUE,29,TRUE,FALSE,FALSE,"fraser/2-05-00b.xml",TRUE
"108","um he has it and that eat leaves","does he eat leaves",0.0339999999999918,"CHI","MOT",5.35300000000001,TRUE,29,FALSE,TRUE,FALSE,"fraser/2-05-01b.xml",TRUE
"109","got big long long tail","wow",0.692000000000007,"CHI","MOT",2.29900000000004,TRUE,29,TRUE,FALSE,FALSE,"fraser/2-05-01b.xml",TRUE
"110","went Trafford_Centre","that's right",0.0459999999999923,"CHI","MOT",2.52,TRUE,29,TRUE,FALSE,FALSE,"fraser/2-05-03a.xml",TRUE
"111","catch your foots","catch my foot",0,"CHI","MOT",1.74199999999996,TRUE,29,FALSE,TRUE,FALSE,"fraser/2-05-03a.xml",TRUE
"112","I be got get up","you've got to get up",0.0349999999999682,"CHI","MOT",1.93900000000008,TRUE,29,TRUE,FALSE,FALSE,"fraser/2-05-03a.xml",TRUE
"113","he was being running","yeah",-1.81099999999992,"CHI","MOT",1.88100000000009,TRUE,29,TRUE,FALSE,TRUE,"fraser/2-05-03a.xml",TRUE
"114","look at all these sheeps","is there lots of sheep there",0.0249999999998636,"CHI","MOT",1.72900000000004,TRUE,29,FALSE,TRUE,FALSE,"fraser/2-05-03a.xml",TRUE
"115","is that a sausages","sausages",0.581000000000131,"CHI","MOT",2.12400000000002,TRUE,29,FALSE,TRUE,FALSE,"fraser/2-05-03a.xml",TRUE
"116","oh look got monkey again","is it a monkey again",0.0350000000003092,"CHI","MOT",2.11299999999983,TRUE,29,TRUE,FALSE,FALSE,"fraser/2-05-03b.xml",TRUE
"117","I got I saw the sea see the fish","you saw the sea and the fish",0.0239999999998872,"CHI","MOT",3.99299999999994,TRUE,29,TRUE,FALSE,FALSE,"fraser/2-05-03b.xml",TRUE
"118","and I went on a train","yes",0,"CHI","MOT",2.19400000000041,TRUE,29,TRUE,FALSE,FALSE,"fraser/2-05-03b.xml",TRUE
"119","and there was planets","and there were planets",0,"CHI","MOT",2.2170000000001,TRUE,29,TRUE,FALSE,FALSE,"fraser/2-05-03b.xml",TRUE
"120","is it scratched it","yeah did you",-0.661999999999807,"CHI","MOT",2.08999999999969,TRUE,29,TRUE,FALSE,TRUE,"fraser/2-05-03b.xml",TRUE
"121","I saw them","you saw what",0.475999999999999,"CHI","MOT",2.07799999999997,TRUE,29,TRUE,FALSE,FALSE,"fraser/2-05-04a.xml",TRUE
"122","xxx seen Bear","we saw Bear we did",0.746999999999957,"CHI","MOT",1.416,TRUE,29,TRUE,FALSE,FALSE,"fraser/2-05-04a.xml",TRUE
"123","Dipsy's not got nothing","he has",0.0230000000001382,"CHI","MOT",2.10099999999989,TRUE,29,TRUE,FALSE,FALSE,"fraser/2-05-04a.xml",TRUE
"124","he he not got nothing","Dipsy has something on his head",0.0929999999998472,"CHI","MOT",2.65800000000013,TRUE,29,TRUE,FALSE,FALSE,"fraser/2-05-04a.xml",TRUE
"125","is it a worms","I don't know",0.184999999999945,"CHI","MOT",1.36999999999989,TRUE,29,FALSE,TRUE,FALSE,"fraser/2-05-04a.xml",TRUE
"126","what your said","who else is a girl",0,"CHI","MOT",1.625,TRUE,29,TRUE,FALSE,FALSE,"fraser/2-05-04b.xml",TRUE
"127","what I got on my blanket","come on",-1.75299999999993,"CHI","MOT",1.94999999999982,TRUE,29,TRUE,FALSE,TRUE,"fraser/2-05-04b.xml",TRUE
"128","look he's got red nose","has he got a red nose",0.0109999999999673,"CHI","MOT",2.31100000000015,TRUE,29,TRUE,FALSE,FALSE,"fraser/2-05-04b.xml",TRUE
"129","what your said","do you like corn",0,"CHI","MOT",1.26499999999987,TRUE,29,TRUE,FALSE,FALSE,"fraser/2-05-04b.xml",TRUE
"130","the mouth called a beak","yes",0.13900000000001,"CHI","MOT",2.42700000000002,TRUE,29,TRUE,FALSE,FALSE,"fraser/2-05-06a.xml",TRUE
"131","just got got all these peoples","pardon",1.08000000000038,"CHI","MOT",2.90299999999979,TRUE,29,FALSE,TRUE,FALSE,"fraser/2-05-06a.xml",TRUE
"132","I got to say that","go on then",2.13599999999997,"CHI","MOT",2.04300000000012,TRUE,29,TRUE,FALSE,FALSE,"fraser/2-05-06b.xml",TRUE
"133","that that dragon's scared that bird","is he",0,"CHI","MOT",4.35400000000004,TRUE,30,TRUE,FALSE,FALSE,"fraser/2-06-01a.xml",TRUE
"134","you it it was dropped it","she dropped it",0.353000000000065,"CHI","MOT",2.59999999999991,TRUE,30,TRUE,FALSE,FALSE,"fraser/2-06-01a.xml",TRUE
"135","and and there was crabs on the floor","was there",0.220000000000255,"CHI","MOT",4.10999999999967,TRUE,30,TRUE,FALSE,FALSE,"fraser/2-06-01a.xml",TRUE
"136","and Jwww's throwed Joe's ball","does he",0.0180000000000291,"CHI","MOT",2.65900000000011,TRUE,30,TRUE,FALSE,FALSE,"fraser/2-06-01a.xml",TRUE
"137","no no is it is tickles","does it",-0.192000000000007,"CHI","MOT",2.84500000000003,TRUE,30,FALSE,TRUE,TRUE,"fraser/2-06-01b.xml",TRUE
"138","four foots","two foots",0.0470000000000255,"CHI","MOT",1.23099999999999,TRUE,30,FALSE,TRUE,FALSE,"fraser/2-06-01b.xml",TRUE
"139","no sheeps","no sheep",0,"CHI","MOT",1.26600000000008,TRUE,30,FALSE,TRUE,FALSE,"fraser/2-06-01b.xml",TRUE
"140","why you said ooh","because the postman just came and there's some cards for Mummy",0.0470000000000255,"CHI","MOT",1.846,TRUE,30,TRUE,FALSE,FALSE,"fraser/2-06-01b.xml",TRUE
"141","he broke it","he broke it",0.384000000000015,"CHI","MOT",1.68299999999999,TRUE,30,TRUE,FALSE,FALSE,"fraser/2-06-02a.xml",TRUE
"142","but that one falled","did it",0.0579999999999927,"CHI","MOT",1.68299999999999,TRUE,30,TRUE,FALSE,FALSE,"fraser/2-06-02a.xml",TRUE
"143","I don't like to cut my fingers","you have to soon",0.849999999999909,"CHI","MOT",2.14799999999968,TRUE,30,FALSE,TRUE,FALSE,"fraser/2-06-02b.xml",TRUE
"144","I don't like to cut my fingers","your finger",0.30199999999968,"CHI","MOT",3.77300000000014,TRUE,30,FALSE,TRUE,FALSE,"fraser/2-06-02b.xml",TRUE
"145","oh it falled","has it fallen",0.0229999999999961,"CHI","MOT",2.15899999999999,TRUE,30,TRUE,FALSE,FALSE,"fraser/2-06-03a.xml",TRUE
"146","it falled","you fell",0.441000000000031,"CHI","MOT",1.81100000000004,TRUE,30,TRUE,FALSE,FALSE,"fraser/2-06-03a.xml",TRUE
"147","it falled","your tower fell over did it",1.24199999999996,"CHI","MOT",1.96299999999997,TRUE,30,TRUE,FALSE,FALSE,"fraser/2-06-03a.xml",TRUE
"148","it went twinkle twinkle little star","did it",0.0119999999999436,"CHI","MOT",2.75200000000018,TRUE,30,TRUE,FALSE,FALSE,"fraser/2-06-03a.xml",TRUE
"149","it goed I it go down to my ear","it goes down to your ear",0.261999999999944,"CHI","MOT",4.73700000000008,TRUE,30,TRUE,FALSE,FALSE,"fraser/2-06-03b.xml",TRUE
"150","it's went down to my mouth","it goes down to your mouth",0.126999999999953,"CHI","MOT",2.24099999999999,TRUE,30,TRUE,FALSE,FALSE,"fraser/2-06-03b.xml",TRUE
