,utterance,response,response_time,speaker,responder,utterance_time,error,age,past_tense,plural,overlap,overreg_candidate,manual_code
301,I won't get messys,no no but there's all this Sellotape that needs using up look,0.515,CHI,MOT,1.346,TRUE,45,FALSE,TRUE,FALSE,TRUE,FALSE
302,with the windows in and now did it went bang,well Daddy said it all burnt to the ground,-0.034,CHI,MOT,3.227,TRUE,45,TRUE,FALSE,FALSE,TRUE,FALSE
303,I didn't but I saw treading on wires,treading on the wires,0.581,CHI,MOT,4.098,TRUE,45,TRUE,FALSE,FALSE,TRUE,FALSE
304,I have got a hat,that'll do I'm sure,NA,CHI,INV,media info not available,TRUE,45,TRUE,FALSE,FALSE,TRUE,FALSE
305,I runned over my toy,NA,NA,CHI,MOT,media info not available,TRUE,45,TRUE,FALSE,FALSE,TRUE,TRUE
306,when I played it would,no,NA,CHI,MOT,media info not available,TRUE,45,TRUE,FALSE,FALSE,TRUE,FALSE
307,a pooey yoghurts,hey,NA,CHI,MOT,media info not available,TRUE,45,FALSE,TRUE,FALSE,TRUE,FALSE
308,I did heard it,yes,0.034,CHI,MOT,1.115,TRUE,46,TRUE,FALSE,FALSE,TRUE,FALSE
309,what happened rain so he done that,he put the cloth over his van did he,0.559,CHI,MOT,3.668,TRUE,46,TRUE,FALSE,FALSE,TRUE,FALSE
310,and who did put the rubbish bin under the table,well you did darling actually,-0.012,CHI,MOT,3.587,TRUE,46,TRUE,FALSE,FALSE,TRUE,FALSE
311,uhoh lots of number ones,no it's that's not number ones,-0.209,CHI,MOT,2.38,TRUE,46,FALSE,TRUE,FALSE,TRUE,FALSE
312,oh no my feet need a rest,shall I go and,-2.12,CHI,MOT,2.31,TRUE,46,FALSE,TRUE,TRUE,TRUE,FALSE
313,cause I eated some of that,have you,-0.093,CHI,MOT,1.87,TRUE,46,TRUE,FALSE,FALSE,TRUE,TRUE
314,told,well it's a great big bag I think actually your Grandad got it from B Q didn't he one day,0.836,CHI,MOT,0.871,TRUE,46,TRUE,FALSE,FALSE,TRUE,FALSE
315,it run out of um ink to put in his truck,petrol,0.093,CHI,INV,5.712,TRUE,46,TRUE,FALSE,FALSE,TRUE,FALSE
316,he went gone xxx up and the transporter man fell in a bush,oh,-0.093,CHI,INV,6.641,TRUE,46,TRUE,FALSE,FALSE,TRUE,FALSE
317,i dropped my list,you dropped your list,-0.001,CHI,MOT,0.939,TRUE,47,TRUE,FALSE,FALSE,TRUE,FALSE
318,they were havings,well eat this first,0.092,CHI,MOT,1.985,TRUE,47,FALSE,TRUE,FALSE,TRUE,FALSE
319,I was sit one of the customer and said please may I have some sausage and chips and tomato,you were one of the customers,-0.023,CHI,MOT,5.805,TRUE,47,TRUE,FALSE,FALSE,TRUE,FALSE
320,I have just got pants on,he wears his pants on the outside doesn't he,-1.242,CHI,MOT,1.764,TRUE,47,TRUE,FALSE,TRUE,TRUE,FALSE
321,you haven't speaked through it,I haven't speaked through it,-0.023,CHI,MOT,2.496,TRUE,47,TRUE,FALSE,FALSE,TRUE,TRUE
322,as the day is trains,NA,-0.011,CHI,INV,2.902,TRUE,48,FALSE,TRUE,FALSE,TRUE,FALSE
323,I sleeped slept,that you sleeped,-0.009,CHI,MOT,1.498,TRUE,48,TRUE,FALSE,FALSE,TRUE,TRUE
324,is there any pink quavers,no,-0.011,CHI,MOT,2.716,TRUE,48,FALSE,TRUE,FALSE,TRUE,FALSE
325,what if I runned ran away,no no no,-0.031,CHI,MOT,1.777,TRUE,48,TRUE,FALSE,FALSE,TRUE,TRUE
326,if I runned ran away what would happen,now if you ran away and let go it would come flying back and hit me wouldn't it,-0.054,CHI,MOT,1.893,TRUE,48,TRUE,FALSE,FALSE,TRUE,TRUE
327,I shouldn't of builded built a wall that big,built a wall not builded,-0.024,CHI,MOT,3.89,TRUE,48,TRUE,FALSE,FALSE,TRUE,TRUE
328,I've got need it,oh oh,3.593,CHI,INV,2.334,TRUE,49,TRUE,FALSE,FALSE,TRUE,FALSE
329,she's gone now about us,no she hasn't she's upstairs,0.011,CHI,INV,2.322,TRUE,49,TRUE,FALSE,FALSE,TRUE,FALSE
330,these buses have forgot fire engine,right,0.256,CHI,MOT,2.205,TRUE,49,TRUE,FALSE,FALSE,TRUE,FALSE
331,but the cats there looks bluey,why,0.035,CHI,MOT,2.589,TRUE,49,FALSE,TRUE,FALSE,TRUE,FALSE
332,I've ate it,you've eaten it all have you,0.174,CHI,MOT,1.498,TRUE,49,TRUE,FALSE,FALSE,TRUE,FALSE
333,you are just preten you are dreaming weren't you,I was dreaming,-0.046,CHI,MOT,3.018,TRUE,49,TRUE,FALSE,FALSE,TRUE,FALSE
334,she did wanted let out that door,so you opened the door and she didn't want to go,0.019,CHI,MOT,2.763,TRUE,49,TRUE,FALSE,FALSE,TRUE,FALSE
335,this is when this is what she did when Nana and Grandad was here,did she,0,CHI,MOT,4.086,TRUE,49,TRUE,FALSE,FALSE,TRUE,FALSE
336,just pretend the cornflakes was back of learning signs then,alright,0.116,CHI,MOT,4.414,TRUE,49,TRUE,FALSE,FALSE,TRUE,FALSE
337,here's some more toys,oh,0.441,CHI,MOT,1.289,TRUE,49,FALSE,TRUE,FALSE,TRUE,FALSE
338,a car runned over him,a car's run over him,0.058,CHI,MOT,2.067,TRUE,50,TRUE,FALSE,FALSE,TRUE,TRUE
339,look xxx throwed it into here,but they must have been jolly strong to pick up a police car and throw it into the dustbin truck,1.497,CHI,MOT,2.148,TRUE,50,TRUE,FALSE,FALSE,TRUE,TRUE
340,and I think a Mummy someone's Mummy has stolen them,you think someone's Mummy has stolen them,-0.023,CHI,INV,4.563,TRUE,50,TRUE,FALSE,FALSE,TRUE,FALSE
341,I throw you these things,these are lovely cones,0.093,CHI,INV,2.461,TRUE,50,FALSE,TRUE,FALSE,TRUE,FALSE
342,what was that lorry carried,www,0.124,CHI,MOT,2.079,TRUE,50,TRUE,FALSE,FALSE,TRUE,FALSE
343,that's when I'm died,oh,0.406,CHI,MOT,2.241,TRUE,50,TRUE,FALSE,FALSE,TRUE,FALSE
344,just pretend Purdie was Woody,xxx going to stroke Woody are we,-0.116,CHI,MOT,2.171,TRUE,50,TRUE,FALSE,FALSE,TRUE,FALSE
345,or they could have painted it,there you are painted your plane xxx,0.906,CHI,MOT,1.753,TRUE,50,TRUE,FALSE,FALSE,TRUE,FALSE
346,he tells you all the sweets how they're made,does he,0.198,CHI,MOT,2.148,TRUE,50,TRUE,TRUE,FALSE,TRUE,FALSE
347,and then they she did up her knickers,uh Thomas,0.024,CHI,MOT,3.494,TRUE,51,TRUE,FALSE,FALSE,TRUE,FALSE
348,look where my toes,NA,0.079,CHI,MOT,1.66,TRUE,51,FALSE,TRUE,FALSE,TRUE,FALSE
349,I haven't got a uniform just a liccle little xxx,any ideas,-2.357,CHI,INV,2.484,TRUE,51,TRUE,FALSE,TRUE,TRUE,FALSE
350,habby happy meals,NA,-0.244,CHI,INV,1.033,TRUE,51,FALSE,TRUE,TRUE,TRUE,FALSE
351,my phone was broke,brrr brrr oh bother,0.001,CHI,MOT,1.266,TRUE,51,TRUE,FALSE,FALSE,TRUE,FALSE
352,and I was the delivery man,oh right,NA,CHI,MOT,media info not available,TRUE,51,TRUE,FALSE,FALSE,TRUE,FALSE
353,and then he did change his bottoms,Mister Clarke wants what,1.351,CHI,MOT,3.204,TRUE,51,TRUE,FALSE,FALSE,TRUE,FALSE
354,that we've never hap had,you can,0.662,CHI,MOT,1.138,TRUE,51,TRUE,FALSE,FALSE,TRUE,FALSE
355,they're pisps crisps,well are they like quavers,6.419,CHI,MOT,1.033,TRUE,51,FALSE,TRUE,FALSE,TRUE,FALSE
356,I've just had hundreds of the cheese,have you,-0.091,CHI,MOT,2.578,TRUE,51,FALSE,TRUE,FALSE,TRUE,FALSE
357,why are we don't had any rubbish,yes I put mine out,0.408,CHI,MOT,2.462,TRUE,52,TRUE,FALSE,FALSE,TRUE,FALSE
358,you have not done when it was two,well I've mended xxx,1.007,CHI,MOT,3.356,TRUE,52,TRUE,FALSE,FALSE,TRUE,FALSE
359,I've forgot,S K four three,NA,CHI,MOT,media info not available,TRUE,52,TRUE,FALSE,FALSE,TRUE,FALSE
360,I just drunk some water den then,did you,0.169,CHI,MOT,1.765,TRUE,52,TRUE,FALSE,FALSE,TRUE,?
361,we've got a green suitcases,yes,-0.708,CHI,MOT,2.415,TRUE,52,FALSE,TRUE,TRUE,TRUE,FALSE
362,xxx wheels are skipping slipping,they,-0.082,CHI,MOT,2.346,TRUE,52,FALSE,TRUE,FALSE,TRUE,FALSE
363,I will if there's another people squirting me,no,0.092,CHI,MOT,2.356,TRUE,52,FALSE,TRUE,FALSE,TRUE,FALSE
364,Grant given gave it to me,oh that's right yes you're right,-0.023,CHI,MOT,1.695,TRUE,53,TRUE,FALSE,FALSE,TRUE,FALSE
365,look how many dinosaurs I have got,xxx,-0.046,CHI,MOT,2.45,TRUE,53,TRUE,FALSE,FALSE,TRUE,FALSE
366,her got thirty rubbish,mm are you a dustbin man now,-0.109,CHI,MOT,2.392,TRUE,53,TRUE,FALSE,FALSE,TRUE,FALSE
367,bumped off and now it's broke broken,is the driver of a plane or a train,1.405,CHI,MOT,3.994,TRUE,53,TRUE,FALSE,FALSE,TRUE,FALSE
368,bit fowl wheels and flat stole tyres red blue blue or white cocoas,NA,-1.567,CHI,MOT,8.87,TRUE,53,TRUE,TRUE,TRUE,TRUE,FALSE
369,xxx that I builded this,one you built,-0.032,CHI,MOT,5.015,TRUE,53,TRUE,FALSE,FALSE,TRUE,TRUE
370,it had this whoo,goodness me that's loud,-0.007,CHI,MOT,2.345,TRUE,53,TRUE,FALSE,FALSE,TRUE,FALSE
371,something standed up,oh are you throwing that so sock again are you,0.012,CHI,MOT,1.44,TRUE,53,TRUE,FALSE,FALSE,TRUE,TRUE
372,there's one bended nose,he's crushing my nose,-0.563,CHI,INV,2.467,TRUE,53,TRUE,FALSE,FALSE,TRUE,TRUE
373,it's all bended,ow,0.005,CHI,INV,1.254,TRUE,53,TRUE,FALSE,FALSE,TRUE,TRUE
374,it's all bended and squashed,bent,-0.042,CHI,MOT,3.384,TRUE,53,TRUE,FALSE,FALSE,TRUE,TRUE
375,have some crisps,what do you say,-0.035,CHI,MOT,1.37,TRUE,54,FALSE,TRUE,FALSE,TRUE,FALSE
376,the hula went ranned run away,has it gone up your sleeve,-0.987,CHI,MOT,2.241,TRUE,54,TRUE,FALSE,TRUE,TRUE,TRUE
377,xxx see we looked up he was hit me eye,hm,0,CHI,MOT,3.344,TRUE,54,TRUE,FALSE,FALSE,TRUE,FALSE
378,I don't want the um wheels squeak if I put some oil in,well if you put oil in things it lubricates them,0.412,CHI,MOT,5.329,TRUE,54,FALSE,TRUE,FALSE,TRUE,FALSE
379,it just needs one wheel lost,no,-0.035,CHI,MOT,2.264,TRUE,54,TRUE,FALSE,FALSE,TRUE,FALSE
380,who gots got money,and is this yours Thomas,1.447,CHI,MOT,1.718,TRUE,54,TRUE,FALSE,FALSE,TRUE,FALSE
381,I swimmed,you did swim didn't you,0.165,CHI,MOT,1.184,TRUE,54,TRUE,FALSE,FALSE,TRUE,TRUE
382,does it not matter if it got suds in your ear,no,0.627,CHI,MOT,2.276,TRUE,54,TRUE,FALSE,FALSE,TRUE,FALSE
383,you maded made it,well you make the next one and I'll slot it in the top,0,CHI,MOT,1.196,TRUE,54,TRUE,FALSE,FALSE,TRUE,TRUE
384,um have you ate your jelly,eaten it,-0.013,CHI,MOT,2.972,TRUE,54,TRUE,FALSE,FALSE,TRUE,FALSE
385,I think I think a fish bited her,do you,0.082,CHI,MOT,2.786,TRUE,54,TRUE,FALSE,FALSE,TRUE,TRUE
386,there's rats outside and mouses inside,there better not be mice inside,-0.069,CHI,MOT,2.496,TRUE,54,FALSE,TRUE,FALSE,TRUE,TRUE
387,how how did the duck fell down,the duck,0.197,CHI,MOT,2.334,TRUE,55,TRUE,FALSE,FALSE,TRUE,FALSE
388,I sitted next to him,did you,-0.034,CHI,MOT,1.753,TRUE,55,TRUE,FALSE,FALSE,TRUE,TRUE
389,but would someone have a big candles,yes,-0.557,CHI,MOT,3.007,TRUE,55,FALSE,TRUE,TRUE,TRUE,FALSE
390,don't want to because I've drawed some already,no,-0.058,CHI,MOT,2.578,TRUE,55,TRUE,FALSE,FALSE,TRUE,TRUE
391,I'll drawed it,you draw,-0.023,CHI,MOT,1.091,TRUE,55,TRUE,FALSE,FALSE,TRUE,TRUE
392,look at her hairs,xxx hair yes,-0.104,CHI,MOT,1.602,TRUE,55,FALSE,TRUE,FALSE,TRUE,TRUE
393,and I've only got one two persons,what is it you've got,0.046,CHI,MOT,2.833,TRUE,55,FALSE,TRUE,FALSE,TRUE,TRUE
394,two persons,two persons,0.58,CHI,MOT,0.964,TRUE,55,FALSE,TRUE,FALSE,TRUE,TRUE
395,I could of not heared him,xxx,-0.036,CHI,MOT,2.496,TRUE,55,TRUE,FALSE,FALSE,TRUE,TRUE
396,what was how did the man fell off his ladder,I don't know,NA,CHI,MOT,3.831,TRUE,55,TRUE,FALSE,FALSE,TRUE,FALSE
397,that had fell off,yes,-0.023,CHI,MOT,1.242,TRUE,55,TRUE,FALSE,FALSE,TRUE,FALSE
398,the man's fell off his cab now,at Christmas it was all lit up in his cab and I think he used to have a big advertising poster on his crane as well,4.751,CHI,MOT,2.159,TRUE,55,TRUE,FALSE,TRUE,TRUE,FALSE
399,have you et ate it,oh,NA,CHI,MOT,1.359,TRUE,55,TRUE,FALSE,FALSE,TRUE,FALSE
400,we went we drived into the car to see it,did you,0.046,CHI,MOT,3.564,TRUE,56,TRUE,FALSE,FALSE,TRUE,TRUE
401,Thomas gived it me,precisely,0.023,CHI,MOT,1.417,TRUE,56,TRUE,FALSE,FALSE,TRUE,TRUE
402,is this what cabs around,yes uhhuh,-0.012,CHI,MOT,1.741,TRUE,56,FALSE,TRUE,FALSE,TRUE,FALSE
403,I will do the leafs,then if we have that one that one and that one,0.031,CHI,MOT,1.126,TRUE,56,FALSE,TRUE,FALSE,TRUE,TRUE
404,you said I'm banneded banned from cheese,banneded from cheese,0.056,CHI,MOT,2.717,TRUE,56,TRUE,FALSE,FALSE,TRUE,TRUE
405,um I've forgot all the words,right,0.081,CHI,MOT,2.52,TRUE,56,TRUE,FALSE,FALSE,TRUE,FALSE
406,I've forgot all of it,xxx,-0.616,CHI,FAT,1.753,TRUE,56,TRUE,FALSE,TRUE,TRUE,FALSE
407,I have eaten some lemon balls,how many have you eaten,0,CHI,INV,2.101,TRUE,56,FALSE,TRUE,FALSE,TRUE,FALSE
408,no it's not beginned yet,oh it's not begun yet,-0.337,CHI,INV,1.974,TRUE,56,TRUE,FALSE,TRUE,TRUE,TRUE
409,I throwed it down there,where,0.568,CHI,MOT,2.23,TRUE,56,TRUE,FALSE,FALSE,TRUE,TRUE
410,it shoots people and made them die,oh dear,-0.012,CHI,MOT,2.485,TRUE,56,TRUE,FALSE,FALSE,TRUE,FALSE
411,we're we're doing the we're the cleaner up men and ladies,the cleaner up men and ladies,0.287,CHI,INV,5.166,TRUE,56,FALSE,TRUE,FALSE,TRUE,FALSE
412,why can you not eat touch the the chunks,well I can touch the chunks but they're not very nice to touch,0.097,CHI,MOT,3.994,TRUE,57,FALSE,TRUE,FALSE,TRUE,FALSE
413,I just bited this and then it came off,no don't put it,-1.068,CHI,MOT,2.38,TRUE,57,TRUE,FALSE,TRUE,TRUE,TRUE
414,I used it when Nana and Grandad was here,yesterday,0.057,CHI,MOT,2.531,TRUE,57,TRUE,FALSE,FALSE,TRUE,FALSE
415,now I knew a way to put the animals,right then,-0.092,CHI,MOT,2.519,TRUE,57,TRUE,TRUE,FALSE,TRUE,FALSE
416,I've forgot,now I'll tell you again then,-0.105,CHI,MOT,0.639,TRUE,58,TRUE,FALSE,FALSE,TRUE,FALSE
417,it's called a pass sweets,pass sweets,0.36,CHI,MOT,2.775,TRUE,58,FALSE,TRUE,FALSE,TRUE,FALSE
418,where did they came from,I don't know,0.029,CHI,MOT,1.184,TRUE,58,TRUE,FALSE,FALSE,TRUE,FALSE
419,Scoop falled in there,did he,0.023,CHI,MOT,1.637,TRUE,58,TRUE,FALSE,FALSE,TRUE,TRUE
420,and then all of them falled in,fell,1.088,CHI,MOT,2.45,TRUE,58,TRUE,FALSE,FALSE,TRUE,TRUE
421,and then the land falled in the water,the land fell in the water,0.558,CHI,MOT,3.622,TRUE,58,TRUE,FALSE,FALSE,TRUE,TRUE
422,no they have got a child,have they,-0.082,CHI,MOT,2.101,TRUE,58,TRUE,FALSE,FALSE,TRUE,FALSE
423,you pretend it was tomorrow,okay,-0.009,CHI,INV,2.368,TRUE,58,TRUE,FALSE,FALSE,TRUE,FALSE
424,I throwed it back for them,did you,0.128,CHI,MOT,1.556,TRUE,58,TRUE,FALSE,FALSE,TRUE,TRUE
425,I was in a town and when this a and a bo and um the people and I forgot to put my trousers on,oh,-0.037,CHI,MOT,8.034,TRUE,58,FALSE,TRUE,FALSE,TRUE,FALSE
426,you have done it over there,well you can't stay over there all the time Tom because you need your breakfast,-0.175,CHI,MOT,2.973,TRUE,59,TRUE,FALSE,FALSE,TRUE,FALSE
427,did you know what I heard,boo boo something like that,0.894,CHI,MOT,1.962,TRUE,59,TRUE,FALSE,FALSE,TRUE,FALSE
428,Zoe sent to the writing,the one you have written to Lyne and the one you have written to Lyne was the first one,0.128,CHI,MOT,2.205,TRUE,59,TRUE,FALSE,FALSE,TRUE,FALSE
429,your sausage machine it has already finded some,yes,-0.012,CHI,MOT,4.192,TRUE,59,TRUE,FALSE,FALSE,TRUE,TRUE
430,be good if real horses,if what,0.14,CHI,MOT,2.368,TRUE,59,FALSE,TRUE,FALSE,TRUE,FALSE
431,I found squashing up the picture xxx,should we open the blue one,NA,CHI,MOT,media info not available,TRUE,59,TRUE,FALSE,TRUE,TRUE,FALSE
432,xxx lady xxx mens men,well I would imagine ladies and mens are the same really it's only like a waistcoat,0.609,CHI,MOT,3.634,TRUE,59,FALSE,TRUE,FALSE,TRUE,FALSE
433,you must be gone to back to the shop,well I don't,-0.058,CHI,MOT,3.379,TRUE,59,TRUE,FALSE,FALSE,TRUE,FALSE
434,you like weren't me,you keep saying that to me,0.604,CHI,MOT,1.927,TRUE,59,TRUE,FALSE,FALSE,TRUE,FALSE
435,dugged dug,the digger had dugged dug,0.035,CHI,MOT,0.963,TRUE,59,TRUE,FALSE,FALSE,TRUE,TRUE
436,I think I've already broke it,well just do it gent,-0.487,CHI,MOT,1.846,TRUE,59,TRUE,FALSE,TRUE,TRUE,FALSE
437,you should of catched it,do you know what these little rough bits are for there,-0.093,CHI,MOT,1.683,TRUE,59,TRUE,FALSE,FALSE,TRUE,TRUE
438,I just throwed it in the bin,you've thrown my hat in the bin,-0.053,CHI,INV,1.3,TRUE,59,TRUE,FALSE,FALSE,TRUE,TRUE
439,just pretend there was a cat on the train and it tripped up and he falled on the track,a cat on the train,0.197,CHI,MOT,5.143,TRUE,59,TRUE,FALSE,FALSE,TRUE,TRUE
440,the fence is blowed on the track,oh dear,0.963,CHI,MOT,3.692,TRUE,59,TRUE,FALSE,FALSE,TRUE,TRUE
441,I have seen it,and your the dirty rascal,-1.254,CHI,MOT,1.347,TRUE,59,TRUE,FALSE,TRUE,TRUE,FALSE
442,they have sawed them down,right,0.035,CHI,MOT,1.556,TRUE,59,TRUE,FALSE,FALSE,TRUE,FALSE