trial,version,utterance_in_exchange,error_position
1,u,1,0
1,u,2,0
1,u,3,0
1,u,4,0
1,u,5,0
1,u,6,2
1,u,7,0
1,g,1,0
1,g,2,0
1,g,3,0
1,g,4,0
1,g,5,0
1,g,6,2
1,g,7,0
2,u,1,0
2,u,2,3
2,u,3,0
2,u,4,0
2,u,5,0
2,u,6,0
2,g,1,0
2,g,2,3
2,g,3,0
2,g,4,0
2,g,5,0
2,g,6,0
3,u,1,0
3,u,2,3
3,u,3,0
3,u,4,0
3,u,5,0
3,u,6,0
3,u,7,0
3,g,1,0
3,g,2,3
3,g,3,0
3,g,4,0
3,g,5,0
3,g,6,0
3,g,7,0
4,u,1,0
4,u,2,0
4,u,3,5
4,u,4,0
4,u,5,0
4,u,6,0
4,u,7,0
4,g,1,0
4,g,2,0
4,g,3,5
4,g,4,0
4,g,5,0
4,g,6,0
4,g,7,0
5,u,1,0
5,u,2,7
5,u,3,0
5,u,4,0
5,u,5,0
5,g,1,0
5,g,2,7
5,g,3,0
5,g,4,0
5,g,5,0
6,u,1,0
6,u,2,3
6,u,3,0
6,u,4,0
6,g,1,0
6,g,2,3
6,g,3,0
6,g,4,0
7,u,1,0
7,u,2,0
7,u,3,2
7,u,4,0
7,u,5,0
7,u,6,0
7,g,1,0
7,g,2,0
7,g,3,2
7,g,4,0
7,g,5,0
7,g,6,0
8,u,1,0
8,u,2,3
8,u,3,0
8,u,4,0
8,u,5,0
8,g,1,0
8,g,2,3
8,g,3,0
8,g,4,0
8,g,5,0
9,u,1,0
9,u,2,5
9,u,3,0
9,u,4,0
9,u,5,0
9,g,1,0
9,g,2,5
9,g,3,0
9,g,4,0
9,g,5,0
10,u,1,0
10,u,2,2
10,u,3,0
10,u,4,0
10,u,5,0
10,g,1,0
10,g,2,2
10,g,3,0
10,g,4,0
10,g,5,0
11,u,1,0
11,u,2,0
11,u,3,0
11,u,4,3
11,u,5,0
11,u,6,0
11,u,7,0
11,g,1,0
11,g,2,0
11,g,3,0
11,g,4,3
11,g,5,0
11,g,6,0
11,g,7,0
12,u,1,0
12,u,2,2
12,u,3,0
12,u,4,0
12,u,5,0
12,u,6,0
12,u,7,0
12,g,1,0
12,g,2,2
12,g,3,0
12,g,4,0
12,g,5,0
12,g,6,0
12,g,7,0
13,u,1,0
13,u,2,0
13,u,3,0
13,u,4,2
13,u,5,0
13,g,1,0
13,g,2,0
13,g,3,0
13,g,4,2
13,g,5,0
14,u,1,0
14,u,2,0
14,u,3,0
14,u,4,4
14,u,5,0
14,g,1,0
14,g,2,0
14,g,3,0
14,g,4,4
14,g,5,0
15,u,1,0
15,u,2,0
15,u,3,0
15,u,4,0
15,u,5,6
15,u,6,0
15,g,1,0
15,g,2,0
15,g,3,0
15,g,4,0
15,g,5,6
15,g,6,0
16,u,1,0
16,u,2,0
16,u,3,0
16,u,4,0
16,u,5,0
16,u,6,2
16,u,7,0
16,u,8,0
16,g,1,0
16,g,2,0
16,g,3,0
16,g,4,0
16,g,5,0
16,g,6,2
16,g,7,0
16,g,8,0
17,u,1,0
17,u,2,0
17,u,3,0
17,u,4,0
17,u,5,3
17,u,6,0
17,u,7,0
17,g,1,0
17,g,2,0
17,g,3,0
17,g,4,0
17,g,5,3
17,g,6,0
17,g,7,0
18,u,1,0
18,u,2,0
18,u,3,0
18,u,4,0
18,u,5,4
18,u,6,0
18,g,1,0
18,g,2,0
18,g,3,0
18,g,4,0
18,g,5,4
18,g,6,0
19,u,1,0
19,u,2,0
19,u,3,0
19,u,4,4
19,u,5,0
19,u,6,0
19,u,7,0
19,g,1,0
19,g,2,0
19,g,3,0
19,g,4,4
19,g,5,0
19,g,6,0
19,g,7,0
20,u,1,0
20,u,2,0
20,u,3,3
20,u,4,0
20,u,5,0
20,u,6,0
20,g,1,0
20,g,2,0
20,g,3,3
20,g,4,0
20,g,5,0
20,g,6,0